Algorithm,Optimization,Data Set,User Time (s),System Time (s),CPU Time (s),Max RSS (MiB)
bubble_sort,-O0,small_data.txt,"42.29u","42.29u","42.29u","0.49s"
bubble_sort,-O0,medium_data.txt,"45.23u","45.23u","45.23u","0.90s"
bubble_sort,-O0,large_data.txt,"46.51u","46.51u","46.51u","0.01s"
bubble_sort,-O0,large_data_float.txt,"44.16u","44.16u","44.16u","1.34s"
bubble_sort,-O1,small_data.txt,"19.17u","19.17u","19.17u","0.02s"
bubble_sort,-O1,medium_data.txt,"19.16u","19.16u","19.16u","0.01s"
bubble_sort,-O1,large_data.txt,"19.05u","19.05u","19.05u","0.01s"
bubble_sort,-O1,large_data_float.txt,"19.23u","19.23u","19.23u","0.00s"
bubble_sort,-O2,small_data.txt,"64.27u","64.27u","64.27u","0.01s"
bubble_sort,-O2,medium_data.txt,"60.81u","60.81u","60.81u","0.13s"
bubble_sort,-O2,large_data.txt,"58.00u","58.00u","58.00u","0.03s"
bubble_sort,-O2,large_data_float.txt,"57.23u","57.23u","57.23u","0.00s"
bubble_sort,-O3,small_data.txt,"57.28u","57.28u","57.28u","0.69s"
bubble_sort,-O3,medium_data.txt,"58.32u","58.32u","58.32u","0.31s"
bubble_sort,-O3,large_data.txt,"69.13u","69.13u","69.13u","0.00s"
bubble_sort,-O3,large_data_float.txt,"73.01u","73.01u","73.01u","0.01s"
bubble_sort,-Ofast,small_data.txt,"68.28u","68.28u","68.28u","0.01s"
bubble_sort,-Ofast,medium_data.txt,"67.50u","67.50u","67.50u","0.00s"
bubble_sort,-Ofast,large_data.txt,"67.07u","67.07u","67.07u","0.00s"
bubble_sort,-Ofast,large_data_float.txt,"68.74u","68.74u","68.74u","0.00s"
heap_sort,-O0,small_data.txt,"0.09u","0.09u","0.09u","0.00s"
heap_sort,-O0,medium_data.txt,"0.10u","0.10u","0.10u","0.00s"
heap_sort,-O0,large_data.txt,"0.12u","0.12u","0.12u","0.00s"
heap_sort,-O0,large_data_float.txt,"0.12u","0.12u","0.12u","0.00s"
heap_sort,-O1,small_data.txt,"0.02u","0.02u","0.02u","0.04s"
heap_sort,-O1,medium_data.txt,"0.10u","0.10u","0.10u","0.00s"
heap_sort,-O1,large_data.txt,"0.04u","0.04u","0.04u","0.02s"
heap_sort,-O1,large_data_float.txt,"0.06u","0.06u","0.06u","0.00s"
heap_sort,-O2,small_data.txt,"0.06u","0.06u","0.06u","0.00s"
heap_sort,-O2,medium_data.txt,"0.07u","0.07u","0.07u","0.00s"
heap_sort,-O2,large_data.txt,"0.07u","0.07u","0.07u","0.00s"
heap_sort,-O2,large_data_float.txt,"0.06u","0.06u","0.06u","0.00s"
heap_sort,-O3,small_data.txt,"0.06u","0.06u","0.06u","0.00s"
heap_sort,-O3,medium_data.txt,"0.05u","0.05u","0.05u","0.00s"
heap_sort,-O3,large_data.txt,"0.07u","0.07u","0.07u","0.00s"
heap_sort,-O3,large_data_float.txt,"0.06u","0.06u","0.06u","0.00s"
heap_sort,-Ofast,small_data.txt,"0.02u","0.02u","0.02u","0.04s"
heap_sort,-Ofast,medium_data.txt,"0.11u","0.11u","0.11u","0.00s"
heap_sort,-Ofast,large_data.txt,"0.07u","0.07u","0.07u","0.00s"
heap_sort,-Ofast,large_data_float.txt,"0.06u","0.06u","0.06u","0.00s"
